June 2026,,,,,,,,,,,,
Campaign,,Cost,Sessions,,Total users,Add to carts,Checkouts,Purchase,,cost per purchase,budget daily,
SRC | BFG Advantage Touring | PH,,"16,187.52",44,,43,3,1,0,,null,,
SRC | All Brands | PH,,"22,000.16",176,,164,15,0,0,,null,,
All Brand - PMax PH,,"12,607.29",1421,,1310,379,26,4,,3151.821485,,
BFG Advantage Touring – PMax PH,,"10,806.36",324,,296,99,10,5,,2161.272244,,
OVERALL TOTAL,,"61, 601.33",,,,,,,,,,
,,,,,,,,,,,,
JULY,,,,,,,,,,,,
Campaign,Budget Increase,Cost,Sessions,% diff,Total users,Add to carts,Checkouts,Purchase,% diff,cost per purchase,budget daily,
All Brand - PMax PH,250.00,"22,216.16",6105,329.63%,5603,1146,86,18,77.78%,"1,234.23","600 > 750 (increase on July 18, 2026)",
SRC | All Brands | PH,-500.00,"24,387.85",5544,33.6875,5086,999,54,13,100.00%,"1,875.99","1K > 500 (July 18, 2026)",
SRC | Michelin | PH,-500.00,"20,054.15",69,,67,4,0,0,,null,"1K > 500 (July 18, 2026)",
Michelin - PMax PH,250.00,"18,705.37",6171,,5507,1659,112,34,,550.16,"600 > 750 (increase on July 18, 2026)",
Michelin PE Japan - PMax PH,0.00,"9,703.38",1366,,1270,199,10,2,,"4,851.69",937.5,
BFG Advantage Touring – PMax PH,0.00,0.00,null,,null,null,null,null,,null,0,
OVERALL TOTAL,,"95,066.89",,,,,,,,,,
,,,,,,,,,,,,
August,,,,,,,,,,,,
Campaign,Budget Increase,Cost,Sessions,% diff,Total users,Add to carts,Checkouts,Purchase,% diff,cost per purchase,budget daily,Average Net Sales 
All Brand - PMax PH,,"28,491.25",40757,567.60%,35889,1165,78,27,33.33%,"1,055.23",937.5,"₱16,239.13"
BFG Advantage Touring – PMax PH,,"28,485.14",58564,,50691,955,71,14,,"2,034.65",937.5,"₱13,927.62"
Michelin - PMax PH,,"28,500.64",17278,179.99%,15080,3825,396,119,71.43%,239.50,937.5,"₱18,399.74"
SRC | All Brands | PH,,"15,200.15",3140,183.01%,2816,861,42,10,-30.00%,"1,520.01",500,"₱18,331.91"
BFG - PMax (Traffic),,"10,347.32",18614,,16656,605,46,13,,795.95, 450 (New Campaign),"₱18,320.07"
Gulongph Branding - PMax,,"8,094.70",17246,,15193,512,26,5,,"1,618.94", 450 (New Campaign),
OVERALL TOTAL,,"119,119.20",,,,,,,,,,
,,,,,,,,,,,,
September,,,,,,,,,,,,
Campaign,Budget Increase,Cost,Sessions,% diff,Total users,Add to carts,Checkouts,Purchase,% diff,cost per purchase,budget daily,
All Brand - PMax PH,,"28,491.25",40757,,35889,1165,78,27,,"1,055.23",937.5,
BFG PMax [New],,"28,125.00",,,,,,,,,937.5,
BFG Advantage Touring – PMax PH,,,,,,,,,,,,
Michelin - PMax PH,,"28,500.64",17278,,15080,3825,396,119,,239.50,937.5,
SRC | All Brands | PH,,,,,,,,,,,,
BFG - PMax (Traffic),50.00,"10,347.32",18614,,16656,605,46,13,,795.95," 450 > 500 (increase on sept 7, 2026) - New Campaign",
Gulongph Branding - PMax,537.00,"16,110.00",17246,,15193,512,26,5,,"1,618.94","400 > 937.50 (increase on sept 9, 2026)",
OVERALL TOTAL,,"111,574.21",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BUDGET ALLOCATION (SEPTEMBER 2026),,,,,,,,,,,,
,,,,,,,,,,,,
PLATFORM,CAMPAIGN / AD SET TYPE,MONTHLY (ESTIMATED),DAILY (ESTIMATED),,,,,,,,,
Google Ads,All Brands - PMax,,,,,,,,,,,
,,,,,,,,,,,,
,Michelin/BFG - PMax,,,,,,,,,,,
,All Brands - PMax,,,,,,,,,,,
,Michelin Cashback - PMax,,,,,,,,,,,
