City,purchase,Total users
Quezon City,31,"9,129"
Manila,20,"6,881"
Taguig,17,"3,191"
Davao City,12,"4,781"
Angeles,11,"5,774"
Makati City,10,"1,353"
Antipolo,9,"2,298"
Cebu City,8,"4,949"
Calamba,7,"3,099"
Pasig,6,"1,627"
Caloocan,5,"2,265"
Imus,4,"2,030"
General Trias,4,"1,263"
(not set),4,"8,566"
San Pedro,4,428
Dasmarinas,3,"1,286"
Las Pinas,3,760
Marikina,3,517
Muntinlupa,3,785
Bacoor,2,"1,505"
Binangonan,2,514
Lapu-Lapu,2,672
Lipa City,2,"1,378"
Mandaluyong City,2,538
Paranaque,2,"1,203"
San Pablo City,2,581
Santo Tomas,2,363
Bandar Seri Begawan,1,5
Zhongzheng District,1,3
Alcala,1,42
Batangas City,1,658
Bogota,1,5
Cabanatuan City,1,602
Cagayan De Oro City,1,"1,755"
Camalig,1,29
General Mariano Alvarez,1,132
Gothenburg,1,1
Haiphong,1,3
Iligan City,1,423
Ilog,1,11
Jeddah,1,31
Legazpi City,1,412
Libmanan,1,66
Linamon,1,4
Los Banos,1,228
Mambajao,1,30
Meycauayan,1,821
Nangang District,1,1
San Jose del Monte,1,"1,278"
San Juan City,1,56
Sharjah,1,23
Skagway,1,2
Tagaytay City,1,240
Tanza,1,548
Tarlac City,1,"1,103"
Taytay,1,410
Trece Martires City,1,211
Virac,1,115
Bacolod,1,"1,210"
