Rank,City,Purchase,Total Users
1,Quezon City,44,8809
2,Manila,20,6952
3,Taguig,15,3094
4,Cebu City,14,3196
5,Davao City,14,3270
6,Angeles,12,4173
7,(not set),8,4723
8,Imus,8,1707
9,Makati City,7,1283
10,Cagayan de Oro,6,824
11,Dasmarinas,6,1294
12,Paranaque,6,1098
13,Calamba,5,2559
14,Bacoor,5,1252
15,Caloocan,5,1742
16,Las Pinas,5,701
17,Batangas City,4,728
18,Mandaluyong,4,516
19,Pasig,4,1371
20,San Fernando,4,683
21,San Pablo City,4,553
22,Antipolo,3,1804
23,Baguio,3,748
24,City of Santa Rosa,3,662
25,San Jose del Monte,3,1259
26,Singapore,3,283
27,Tanza,3,380
28,Muntinlupa,2,677
29,Cabuyao City,2,195
30,General Trias,2,1036
31,Lipa City,2,1098
32,Los Banos,2,126
33,Lucena City,2,476
34,Mabalacat City,2,258
35,Malolos,2,603
36,Mambajao,2,79
37,Marikina,2,535
38,Binan,2,499
39,Olongapo City,2,750
40,San Jose,2,57
41,Taytay,2,343
42,Dubai,1,77
43,Winnipeg,1,4
44,Bagsværd,1,1
45,Baliwag,1,296
46,Bilbao,1,1
47,Cabanatuan City,1,502
48,Cadiz City,1,19
49,Cuenca,1,35
50,Dapitan City,1,10
51,Doha,1,85
52,Amsterdam,1,18
53,Fuchu,1,2
54,General Luna,1,222
55,General Santos City (Dadiangas),1,255
56,Hong Kong,1,144
57,Iligan City,1,165
58,Jeddah,1,38
59,Lobo,1,25
60,Magalang,1,63
61,Malabon,1,79
62,Mandaue,1,222
63,Naic,1,92
64,Panglao,1,53
65,Prosperidad,1,4
66,Rumaithiya,1,1
67,San Juan,1,74
68,San Pedro,1,412
69,Sariaya,1,166
70,Subic,1,64
71,Sydney,1,24
72,Trece Martires City,1,174
73,Valenzuela,1,315
74,Bacolod,1,612
,Grand Total,275,77279
