City / Reported Area,June Taira Inquiries,June Taira Bookings,June Taira Conversion Rate,June All CS Inquiries,June All CS Bookings,June All CS Conversion Rate,July Taira Inquiries,July Taira Bookings,July Taira Conversion Rate,July All CS Inquiries,July All CS Bookings,July All CS Conversion Rate,June Total Inquiries,July Total Inquiries,Inquiry Change,Inquiry Growth Rate,June Total Bookings,July Total Bookings,Booking Change,Booking Growth Rate,June Gross Booking Amount,July Gross Booking Amount,Gross Amount Change
Quezon City,56,0,0.0,156,11,0.07051282051282051,62,3,0.04838709677419355,109,4,0.03669724770642202,212,171,-41,-0.19339622641509435,11,7,-4,-0.36363636363636365,286123.9,128055.2,-158068.7
Manila,24,1,0.041666666666666664,56,2,0.03571428571428571,24,1,0.041666666666666664,38,0,0.0,80,62,-18,-0.22499999999999998,3,1,-2,-0.6666666666666667,44073.7,32669.6,-11404.1
Cavite,13,0,0.0,41,0,0.0,16,0,0.0,63,1,0.015873015873015872,54,79,25,0.462962962962963,0,1,1,,0.0,24000.0,24000.0
Davao City,17,1,0.058823529411764705,48,0,0.0,17,0,0.0,50,0,0.0,65,67,2,0.03076923076923066,1,0,-1,-1.0,34995.0,0.0,-34995.0
Pampanga,13,0,0.0,48,0,0.0,18,0,0.0,52,1,0.019230769230769232,61,70,9,0.14754098360655732,0,1,1,,0.0,16062.4,16062.4
Pasig City,17,0,0.0,54,4,0.07407407407407407,14,1,0.07142857142857142,40,7,0.175,71,54,-17,-0.23943661971830987,4,8,4,1.0,77559.2,225146.6,147587.4
Taguig City,15,1,0.06666666666666667,55,3,0.05454545454545454,17,1,0.058823529411764705,24,1,0.041666666666666664,70,41,-29,-0.41428571428571426,4,2,-2,-0.5,82031.1,34820.8,-47210.3
Parañaque City,10,0,0.0,45,6,0.13333333333333333,13,2,0.15384615384615385,29,2,0.06896551724137931,55,42,-13,-0.23636363636363633,6,4,-2,-0.33333333333333337,112833.9,110129.0,-2704.9
Antipolo City,17,1,0.058823529411764705,37,1,0.02702702702702703,8,0,0.0,34,3,0.08823529411764706,54,42,-12,-0.2222222222222222,2,3,1,0.5,33736.6,96185.0,62448.4
Caloocan City,15,1,0.06666666666666667,44,2,0.045454545454545456,11,0,0.0,26,0,0.0,59,37,-22,-0.3728813559322034,3,0,-3,-1.0,123469.6,0.0,-123469.6
Makati City,11,0,0.0,45,5,0.1111111111111111,15,1,0.06666666666666667,25,3,0.12,56,40,-16,-0.2857142857142857,5,4,-1,-0.19999999999999996,84545.5,140608.4,56062.9
Las Piñas City,15,2,0.13333333333333333,42,4,0.09523809523809523,8,1,0.125,29,3,0.10344827586206896,57,37,-20,-0.3508771929824561,6,4,-2,-0.33333333333333337,130128.3,51244.5,-78883.8
Bacoor,13,0,0.0,45,3,0.06666666666666667,9,1,0.1111111111111111,24,1,0.041666666666666664,58,33,-25,-0.43103448275862066,3,2,-1,-0.33333333333333337,82255.1,39673.0,-42582.1
Imus,15,2,0.13333333333333333,43,1,0.023255813953488372,15,1,0.06666666666666667,18,1,0.05555555555555555,58,33,-25,-0.43103448275862066,3,2,-1,-0.33333333333333337,39723.6,20470.0,-19253.6
Cebu City,10,0,0.0,33,0,0.0,10,0,0.0,26,0,0.0,43,36,-7,-0.16279069767441856,0,0,0,,0.0,0.0,0.0
Santa Rosa,9,0,0.0,34,2,0.058823529411764705,11,0,0.0,24,0,0.0,43,35,-8,-0.18604651162790697,2,0,-2,-1.0,80660.2,0.0,-80660.2
Laguna,6,0,0.0,30,0,0.0,13,0,0.0,23,0,0.0,36,36,0,0.0,0,0,0,,0.0,0.0,0.0
Lipa City,7,1,0.14285714285714285,35,1,0.02857142857142857,7,1,0.14285714285714285,22,2,0.09090909090909091,42,29,-13,-0.30952380952380953,2,3,1,0.5,20661.0,17855.2,-2805.8
Marikina City,7,0,0.0,26,1,0.038461538461538464,10,0,0.0,28,3,0.10714285714285714,33,38,5,0.1515151515151516,1,3,2,2.0,20730.6,98295.0,77564.4
Muntinlupa City,7,0,0.0,30,1,0.03333333333333333,5,0,0.0,24,0,0.0,37,29,-8,-0.21621621621621623,1,0,-1,-1.0,12551.8,0.0,-12551.8
General Trias,6,0,0.0,25,0,0.0,11,1,0.09090909090909091,23,0,0.0,31,34,3,0.09677419354838701,0,1,1,,0.0,23670.0,23670.0
Valenzuela City,5,1,0.2,28,1,0.03571428571428571,6,0,0.0,24,1,0.041666666666666664,33,30,-3,-0.09090909090909094,2,1,-1,-0.5,30687.2,18121.0,-12566.2
Baguio City,8,0,0.0,29,1,0.034482758620689655,4,0,0.0,14,0,0.0,37,18,-19,-0.5135135135135135,1,0,-1,-1.0,14500.0,0.0,-14500.0
Dasmariñas,8,1,0.125,26,2,0.07692307692307693,9,0,0.0,12,0,0.0,34,21,-13,-0.38235294117647056,3,0,-3,-1.0,87461.4,0.0,-87461.4
Iloilo City,10,0,0.0,24,0,0.0,6,0,0.0,14,0,0.0,34,20,-14,-0.4117647058823529,0,0,0,,0.0,0.0,0.0
Cainta,10,0,0.0,21,0,0.0,8,0,0.0,14,1,0.07142857142857142,31,22,-9,-0.29032258064516125,0,1,1,,0.0,12727.8,12727.8
Batangas,7,0,0.0,19,0,0.0,7,0,0.0,18,0,0.0,26,25,-1,-0.038461538461538436,0,0,0,,0.0,0.0,0.0
Calamba,10,0,0.0,15,0,0.0,8,0,0.0,17,0,0.0,25,25,0,0.0,0,0,0,,0.0,0.0,0.0
Rizal,5,0,0.0,19,0,0.0,9,0,0.0,16,0,0.0,24,25,1,0.04166666666666674,0,0,0,,0.0,0.0,0.0
San Pedro,5,0,0.0,20,2,0.1,9,0,0.0,15,0,0.0,25,24,-1,-0.040000000000000036,2,0,-2,-1.0,13127.4,0.0,-13127.4
Bulacan,8,0,0.0,15,0,0.0,7,0,0.0,17,0,0.0,23,24,1,0.04347826086956519,0,0,0,,0.0,0.0,0.0
Bacolod City,4,0,0.0,15,0,0.0,4,2,0.5,16,0,0.0,19,20,1,0.05263157894736836,0,2,2,,0.0,103902.8,103902.8
Cavite City,7,0,0.0,12,0,0.0,5,0,0.0,14,0,0.0,19,19,0,0.0,0,0,0,,0.0,0.0,0.0
Taytay,7,1,0.14285714285714285,20,2,0.1,2,0,0.0,9,0,0.0,27,11,-16,-0.5925925925925926,3,0,-3,-1.0,41604.6,0.0,-41604.6
Mandaluyong,6,1,0.16666666666666666,14,1,0.07142857142857142,6,0,0.0,11,0,0.0,20,17,-3,-0.15000000000000002,2,0,-2,-1.0,37116.2,0.0,-37116.2
Pasay City,5,0,0.0,17,2,0.11764705882352941,3,0,0.0,12,1,0.08333333333333333,22,15,-7,-0.31818181818181823,2,1,-1,-0.5,23105.4,23670.0,564.6
Batangas City,7,0,0.0,9,0,0.0,5,0,0.0,15,1,0.06666666666666667,16,20,4,0.25,0,1,1,,0.0,16000.0,16000.0
