City,June Purchases,July Purchases,Purchase Change,Purchase Growth Rate,June Purchase Share,July Purchase Share,Purchase Share Change (pp),June Total Users,July Total Users,User Change,User Growth Rate,June Purchase per User,July Purchase per User,Rate Change (pp),June Purchase Rank,July Purchase Rank,Rank Improvement
Quezon City,31,44,13,0.4193548387096775,0.14622641509433962,0.15770609318996415,0.01147967809562453,9129,8809,-320,-0.035053127396209915,0.0033957717165078324,0.004994891588148484,0.001599119871640652,1,1,0
Manila,20,20,0,0.0,0.09433962264150944,0.07168458781362007,-0.022655034827889373,6881,6952,71,0.010318267693649075,0.0029065542799011773,0.0028768699654775605,-2.968431442361679e-05,2,2,0
Taguig,17,15,-2,-0.11764705882352944,0.08018867924528301,0.053763440860215055,-0.02642523838506796,3191,3094,-97,-0.03039799435913504,0.00532748354747728,0.004848093083387201,-0.00047939046409007854,3,3,0
Davao City,12,14,2,0.16666666666666674,0.05660377358490566,0.05017921146953405,-0.00642456211537161,4781,3270,-1511,-0.31604266889772015,0.0025099351600083664,0.004281345565749235,0.001771410405740869,4,5,-1
Cebu City,8,14,6,0.75,0.03773584905660377,0.05017921146953405,0.01244336241293028,4949,3196,-1753,-0.35421297231763993,0.0016164881794301878,0.004380475594493116,0.0027639874150629283,8,4,4
Angeles,11,12,1,0.09090909090909083,0.05188679245283019,0.043010752688172046,-0.008876039764658145,5774,4173,-1601,-0.27727745064080356,0.0019050917907862833,0.002875629043853343,0.0009705372530670598,5,6,-1
(not set),4,8,4,1.0,0.018867924528301886,0.02867383512544803,0.009805910597146143,8566,4723,-3843,-0.44863413495213633,0.00046696240952603317,0.0016938386618674571,0.001226876252341424,12,7,5
Imus,4,8,4,1.0,0.018867924528301886,0.02867383512544803,0.009805910597146143,2030,1707,-323,-0.15911330049261085,0.0019704433497536944,0.0046865846514352666,0.002716141301681572,14,8,6
Makati City,10,7,-3,-0.30000000000000004,0.04716981132075472,0.025089605734767026,-0.022080205585987694,1353,1283,-70,-0.05173688100517371,0.007390983000739098,0.005455962587685113,-0.001935020413053985,6,9,-3
Dasmarinas,3,6,3,1.0,0.014150943396226415,0.021505376344086023,0.007354432947859608,1286,1294,8,0.0062208398133747345,0.0023328149300155523,0.00463678516228748,0.002303970232271928,16,11,5
Parañaque,2,6,4,2.0,0.009433962264150943,0.021505376344086023,0.01207141407993508,1203,1098,-105,-0.08728179551122195,0.0016625103906899418,0.00546448087431694,0.003801970483626998,25,12,13
Cagayan de Oro,1,6,5,5.0,0.0047169811320754715,0.021505376344086023,0.016788395212010553,1755,824,-931,-0.5304843304843305,0.0005698005698005698,0.007281553398058253,0.006711752828257683,34,10,24
Calamba,7,5,-2,-0.2857142857142857,0.0330188679245283,0.017921146953405017,-0.015097720971123284,3099,2559,-540,-0.17424975798644726,0.002258793159083575,0.0019538882375928096,-0.0003049049214907656,9,14,-5
Caloocan,5,5,0,0.0,0.02358490566037736,0.017921146953405017,-0.005663758706972343,2265,1742,-523,-0.23090507726269316,0.002207505518763797,0.0028702640642939152,0.0006627585455301183,11,15,-4
Las Piñas,3,5,2,0.6666666666666667,0.014150943396226415,0.017921146953405017,0.0037702035571786016,760,701,-59,-0.07763157894736838,0.003947368421052632,0.007132667617689016,0.003185299196636384,17,16,1
Bacoor,2,5,3,1.5,0.009433962264150943,0.017921146953405017,0.008487184689254074,1505,1252,-253,-0.16810631229235884,0.00132890365448505,0.003993610223642172,0.0026647065691571227,20,13,7
Pasig,6,4,-2,-0.33333333333333337,0.02830188679245283,0.014336917562724014,-0.013964969229728817,1627,1371,-256,-0.15734480639213277,0.0036877688998156115,0.0029175784099197666,-0.0007701904898958448,10,19,-9
Mandaluyong,2,4,2,1.0,0.009433962264150943,0.014336917562724014,0.004902955298573071,538,516,-22,-0.040892193308550207,0.0037174721189591076,0.007751937984496124,0.004034465865537016,24,18,6
San Pablo City,2,4,2,1.0,0.009433962264150943,0.014336917562724014,0.004902955298573071,581,553,-28,-0.048192771084337394,0.0034423407917383822,0.007233273056057866,0.0037909322643194837,26,21,5
Batangas City,1,4,3,3.0,0.0047169811320754715,0.014336917562724014,0.009619936430648544,658,728,70,0.1063829787234043,0.001519756838905775,0.005494505494505495,0.00397474865559972,31,17,14
San Fernando,0,4,4,,0.0,0.014336917562724014,0.014336917562724014,0,683,683,,0,0.005856515373352855,0.005856515373352855,88,20,68
Antipolo,9,3,-6,-0.6666666666666667,0.04245283018867924,0.010752688172043012,-0.031700142016636235,2298,1804,-494,-0.2149695387293299,0.0039164490861618795,0.0016629711751662971,-0.002253477910995582,7,22,-15
San Jose del Monte,1,3,2,2.0,0.0047169811320754715,0.010752688172043012,0.00603570703996754,1278,1259,-19,-0.014866979655712043,0.000782472613458529,0.0023828435266084196,0.0016003709131498906,49,24,25
Tanza,1,3,2,2.0,0.0047169811320754715,0.010752688172043012,0.00603570703996754,548,380,-168,-0.3065693430656934,0.0018248175182481751,0.007894736842105263,0.006069919323857089,54,27,27
Baguio,0,3,3,,0.0,0.010752688172043012,0.010752688172043012,0,748,748,,0,0.004010695187165776,0.004010695187165776,62,23,39
Santa Rosa,0,3,3,,0.0,0.010752688172043012,0.010752688172043012,0,662,662,,0,0.004531722054380665,0.004531722054380665,90,25,65
Singapore,0,3,3,,0.0,0.010752688172043012,0.010752688172043012,0,283,283,,0,0.01060070671378092,0.01060070671378092,92,26,66
General Trias,4,2,-2,-0.5,0.018867924528301886,0.007168458781362007,-0.011699465746939879,1263,1036,-227,-0.17973079968329375,0.003167062549485352,0.0019305019305019305,-0.0012365606189834216,13,30,-17
Marikina,3,2,-1,-0.33333333333333337,0.014150943396226415,0.007168458781362007,-0.006982484614864408,517,535,18,0.03481624758220514,0.005802707930367505,0.003738317757009346,-0.002064390173358159,18,37,-19
Muntinlupa,3,2,-1,-0.33333333333333337,0.014150943396226415,0.007168458781362007,-0.006982484614864408,785,677,-108,-0.13757961783439487,0.003821656050955414,0.0029542097488921715,-0.0008674463020632425,19,38,-19
Lipa City,2,2,0,0.0,0.009433962264150943,0.007168458781362007,-0.002265503482788936,1378,1098,-280,-0.20319303338171257,0.001451378809869376,0.0018214936247723133,0.0003701148149029374,23,31,-8
Los Banos,1,2,1,1.0,0.0047169811320754715,0.007168458781362007,0.0024514776492865356,228,126,-102,-0.4473684210526315,0.0043859649122807015,0.015873015873015872,0.01148705096073517,45,32,13
