date,inquiries_assigned,moderate_high,bookings
2026-08-01,104,16,1
2026-08-02,373,57,3
2026-08-03,96,21,0
2026-08-04,114,19,1
2026-08-05,109,21,0
2026-08-06,73,11,1
2026-08-07,89,16,1
2026-08-08,69,12,1
2026-08-09,369,69,5
2026-08-10,119,26,0
2026-08-11,89,19,1
2026-08-12,91,17,0
2026-08-13,81,15,1
2026-08-14,99,26,2
2026-08-15,70,19,1
2026-08-16,334,66,5
2026-08-17,121,18,2
2026-08-18,126,17,1
2026-08-19,114,17,1
2026-08-20,90,13,1
2026-08-21,96,21,1
2026-08-22,97,16,0
2026-08-23,409,60,1
2026-08-24,116,14,1
2026-08-25,120,23,1
2026-08-26,130,27,0
2026-08-27,92,22,0
2026-08-28,73,12,0
2026-08-29,84,6,0
2026-08-30,189,31,2
2026-08-31,90,24,0
Total,3966,634,33
