date,inquiries_assigned,moderate_high,bookings
2026-07-01,81,16,1
2026-07-02,69,15,0
2026-07-03,62,14,1
2026-07-04,37,6,0
2026-07-05,274,56,3
2026-07-06,71,14,2
2026-07-07,54,8,1
2026-07-08,67,8,1
2026-07-09,68,5,0
2026-07-10,83,14,1
2026-07-11,78,14,0
2026-07-12,463,63,0
2026-07-13,95,20,0
2026-07-14,80,17,0
2026-07-15,84,14,0
2026-07-16,64,11,0
2026-07-17,83,15,1
2026-07-18,153,22,4
2026-07-19,419,73,6
2026-07-20,77,13,0
2026-07-21,92,22,2
2026-07-22,85,12,2
2026-07-23,80,17,0
2026-07-24,138,29,2
2026-07-25,172,44,1
2026-07-26,372,62,7
2026-07-27,199,40,2
2026-07-28,74,14,0
2026-07-29,84,25,1
2026-07-30,67,16,2
2026-07-31,88,14,1
