date,inquiries_assigned,moderate_high,bookings
2026-06-01,73,8,2
2026-06-02,89,10,1
2026-06-03,76,8,0
2026-06-04,66,10,1
2026-06-05,71,10,0
2026-06-06,85,18,0
2026-06-07,71,7,0
2026-06-08,76,16,1
2026-06-09,100,19,1
2026-06-10,91,13,0
2026-06-11,82,14,0
2026-06-12,91,11,0
2026-06-13,66,15,2
2026-06-14,77,14,0
2026-06-15,81,18,3
2026-06-16,102,29,0
2026-06-17,80,16,2
2026-06-18,60,14,0
2026-06-19,66,9,1
2026-06-20,72,22,1
2026-06-21,337,88,3
2026-06-22,98,26,3
2026-06-23,66,16,0
2026-06-24,80,16,1
2026-06-25,75,16,1
2026-06-26,87,8,4
2026-06-27,62,16,1
2026-06-28,354,84,1
2026-06-29,89,16,3
2026-06-30,89,21,0
