brand,manufacturers_warranty,gulong_guarantee
Accelera,3 Years,6 Months
Accelera,0 Years,6 Months
Achilles,0 Years,Not Covered
Advance,0 Years,Not Covered
Aeolus,0 Years,Not Covered
Aeolus rib type,0 Years,Not Covered
Alliance,5 Years,6 Months
APOLLO,5 Years,1 Year
Aptany,0 Years,6 Months
Arisun,6 Years,6 Months
Arivo,2 Years,6 Months
ATLANDER,0 Years,Not Covered
ATLAS,5 Years,6 Months
AUSTONE,2 Years,6 Months
BFGoodrich,6 Years,6 Months
BLACK ARROW,2 Years,6 Months
Bridgestone,7 Years,6 Months
CEAT,0 Years,Not Covered
Chao Yang,0 Years,6 Months
Chengshan,1 Years,6 Months
COMFORSER,5 Years,6 Months
Continental,5 Years,6 Months
Cooper,6 Years,1 Year
CST,7 Years,6 Months
DEESTONE,4 Years,6 Months
Delium,0 Years,6 Months
DOUBLE COIN-99,0 Years,Not Covered
DoubleCoin,2 Years,6 Months
Dunlop,8 Years,6 Months
Duraturn,5 Years,6 Months
Falken,5 Years,6 Months
Federal,0 Years,6 Months
Firemax,1 Years,6 Months
Firestone,0 Years,6 Months
Forceum,0 Years,6 Months
FRONWAY,5 Years,6 Months
General Tire,5 Years,6 Months
Giti,0 Years,Not Covered
Goodyear,5 Years,6 Months
Hankook,5 Years,6 Months
Headway,2 Years,6 Months
Kinto,2 Years,6 Months
Kumho,5 Years,6 Months
Laufenn,6 Years,6 Months
Linglong,2 Years,6 Months
Maxxis,7 Years,6 Months
Michelin,6 Years,1 Year
MIRAGE,0 Years,Not Covered
Monsta,0 Years,Not Covered
MRF,0 Years,Not Covered
Nankang,5 Years,6 Months
Nereus,1 Years,6 Months
Nexen,6 Years,6 Months
NITTO,5 Years,6 Months
Otani,0 Years,6 Months
PETLAS,2 Years,6 Months
Pirelli,5 Years,6 Months
Presa,7 Years,6 Months
PRINX,2 Years,6 Months
RADAR,5 Years,6 Months
Roadshine,0 Years,6 Months
SAFERICH,0 Years,Not Covered
Sailun,1 Years,6 Months
Sunny,0 Years,6 Months
Texxan,0 Years,6 Months
THUNDERER,0 Years,Not Covered
Torque,5 Years,6 Months
Toyo,8 Years,6 Months
Vitour,0 Years,6 Months
Vredestein,5 Years,6 Months
Wanli,2 Years,6 Months
Westlake,1 Years,6 Months
WINDA,0 Years,Not Covered
Yokohama,5 Years,1 Year
