id,tire_type_id,tire_brand,created_at,updated_at
1,1,APTANY,03/03/22 21:13,03/15/22 13:12
2,1,ARIVO,03/03/22 21:13,03/15/22 13:12
3,1,TORQUE,03/03/22 21:13,03/15/22 13:12
4,1,WANLI,03/03/22 21:13,03/15/22 13:12
5,1,DOUBLECOIN,03/14/22 18:49,03/15/22 13:12
6,2,DELIUM,03/14/22 18:49,03/15/22 13:12
7,3,NEXEN,03/14/22 18:50,09/23/22 14:50
8,2,OTANI,03/14/22 18:50,03/15/22 13:12
9,2,NANKANG,03/14/22 18:50,03/15/22 13:12
10,3,COOPER,03/14/22 18:50,10/24/24 15:25
11,3,BFGOODRICH,03/14/22 18:50,03/15/22 13:13
12,3,FALKEN,03/14/22 18:50,03/15/22 13:13
13,4,YOKOHAMA,03/14/22 18:51,12/06/22 15:31
14,3,FEDERAL,03/14/22 18:51,03/15/22 13:13
15,4,BRIDGESTONE,03/14/22 18:51,03/15/22 13:13
16,4,DUNLOP,03/14/22 18:51,03/15/22 13:13
17,4,MICHELIN,03/14/22 18:51,03/15/22 13:13
18,4,HANKOOK,03/14/22 18:51,03/15/22 13:13
19,4,CONTINENTAL,03/14/22 18:52,03/15/22 13:13
20,4,PIRELLI,03/14/22 18:52,03/15/22 13:13
21,4,GOODYEAR,05/02/22 19:10,
22,2,PRESA,07/12/22 18:00,07/12/22 18:00
23,3,CST,07/12/22 18:00,06/14/24 17:33
24,3,TOYO,07/12/22 18:00,07/12/22 20:11
25,4,NITTO,07/12/22 18:00,07/03/24 17:02
26,4,MAXXIS,07/12/22 18:01,01/30/23 20:58
27,3,ALLIANCE,10/28/22 16:57,12/06/22 15:32
28,2,FIREMAX,12/07/22 19:35,10/13/23 10:42
29,1,NEREUS,01/20/23 12:57,
30,1,SAILUN,01/26/23 19:16,
31,3,Apollo,02/22/23 17:45,07/04/23 11:41
33,1,WESTLAKE,07/17/23 16:19,10/13/23 10:42
34,2,PRINX,08/10/23 17:58,
35,2,AUSTONE,08/10/23 17:58,
36,3,VREDESTEIN,02/22/24 17:58,02/22/24 17:58
37,1,FRONWAY,05/13/24 18:08,05/13/24 18:15
38,1,ATLAS,05/13/24 18:23,
39,4,General Tire,07/02/24 18:23,12/06/24 16:56
40,2,DEESTONE,10/04/24 16:03,
41,3,Laufenn,10/24/24 15:25,
42,1,Arisun,10/29/24 14:59,
43,1,BLACK ARROW,03/28/25 10:36,
44,2,Petlas,04/28/25 18:18,
45,1,Duraturn,09/10/25 11:13,
46,2,Kinto,09/10/25 11:21,
47,3,Accelera,09/17/25 10:43,
48,1,Linglong,11/11/25 16:01,11/11/25 16:28
49,2,ATLANDER,03/11/26 15:10,03/11/26 15:10
50,2,Radar,08/04/26 14:17,08/10/26 15:10
51,2,Comforser,08/04/26 14:20,08/10/26 15:12
52,1,Chengshan,08/26/26 13:36,
