Session campaign,Page path + query string,Ecommerce purchases
(direct),/complete-order?requestid=Mzk1OTI=,3
(organic),/complete-order?requestid=MzkyMDA=,2
(direct),/complete-order?requestid=MzkzOTA%3D,2
(direct),/complete-order?requestid=Mzg5OTA=,2
(direct),/complete-order?requestid=Mzg5OTY=,2
(organic),/complete-order?requestid=Mzk0MDE%3D,2
(organic),/complete-order?requestid=Mzk0MDQ=,2
(direct),/complete-order?requestid=Mzk0MDY=,2
(direct),/complete-order?requestid=Mzk0MDc=,2
(organic),/complete-order?requestid=Mzk0MDk%3D,2
(organic),/complete-order?requestid=Mzk0MTc=,2
(organic),/complete-order?requestid=Mzk0MzM%3D,2
(direct),/complete-order?requestid=Mzk0NDU%3D,2
(direct),/complete-order?requestid=Mzk0NTE%3D,2
(organic),/complete-order?requestid=Mzk0NTU=,2
(direct),/complete-order?requestid=Mzk0NTc%3D,2
(direct),/complete-order?requestid=Mzk0NjQ=,2
(direct),/complete-order?requestid=Mzk0NzY%3D,2
(direct),/complete-order?requestid=Mzk0Nzc=,2
(direct),/complete-order?requestid=Mzk0ODI=,2
(organic),/complete-order?requestid=Mzk0OTk=,2
(direct),/complete-order?requestid=Mzk1MjU=,2
(direct),/complete-order?requestid=Mzk1MzE=,2
(direct),/complete-order?requestid=Mzk1NTU=,2
(direct),/complete-order?requestid=Mzk1NTg=,2
(organic),/complete-order?requestid=Mzk1NjM%3D,2
(direct),/complete-order?requestid=Mzk1NzE=,2
(organic),/complete-order?requestid=Mzk1Nzk%3D,2
(direct),/complete-order?requestid=Mzk1ODQ=,2
(direct),/complete-order?requestid=Mzk1OTM=,2
(direct),/complete-order?requestid=Mzk2MDA=,2
(organic),/complete-order?requestid=Mzk2MTI=,2
(direct),/complete-order?requestid=Mzk2MTY%3D,2
(direct),/complete-order?requestid=Mzk2MjQ=,2
(direct),/complete-order?requestid=Mzk2MzY%3D,2
(organic),/complete-order?requestid=Mzk2NDU=,2
(direct),/complete-order?requestid=Mzk2NTI=,2
(organic),/complete-order?requestid=Mzk2NTQ%3D,2
(organic),/complete-order?requestid=Mzk2Njc=,2
(organic),/complete-order?requestid=Mzk2NzA=,2
(direct),/complete-order?requestid=Mzk2NzM=,2
(direct),/complete-order?requestid=Mzk2Nzk=,2
(direct),/complete-order?requestid=Mzk2OTg=,2
(direct),/complete-order?requestid=Mzk3MDI=,2
(direct),/complete-order?requestid=Mzk3MTg%3D,2
(direct),/complete-order?requestid=Mzk3MjA=,2
(organic),/complete-order?requestid=Mzk3MjE%3D,2
(direct),/complete-order?requestid=Mzk3MzU=,2
(direct),/complete-order?requestid=Mzk3NTU=,2
(direct),/complete-order?requestid=Mzk3Nzk%3D,2
(organic),/complete-order?requestid=Mzk3ODQ%3D,2
(direct),/complete-order?requestid=Mzk3OTA%3D,2
(direct),/complete-order?requestid=Mzk4MDg%3D,2
(organic),/complete-order?requestid=Mzk4MTk=,2
(organic),/complete-order?requestid=Mzk4MzQ%3D,2
(direct),/complete-order?requestid=Mzk4Mzc=,2
(organic),/complete-order?requestid=Mzk4NDI%3D,2
(organic),/complete-order?requestid=Mzk4NDQ%3D,2
(direct),/complete-order?requestid=Mzk4NDU=,2
(direct),/complete-order?requestid=Mzk4NjA=,2
(direct),/complete-order?requestid=Mzk4NjU%3D,2
(organic),/complete-order?requestid=Mzk4OTE%3D,2
(direct),/complete-order?requestid=Mzk5MDA=,2
(organic),/complete-order?requestid=MzkwMDU=,2
(organic),/complete-order?requestid=MzkwMTQ%3D,2
(organic),/complete-order?requestid=MzkwMjA%3D,2
(organic),/complete-order?requestid=MzkwMjY%3D,2
(direct),/complete-order?requestid=MzkwNTc%3D,2
(direct),/complete-order?requestid=MzkwNjM%3D,2
(direct),/complete-order?requestid=MzkwNjg=,2
(direct),/complete-order?requestid=MzkwOTA=,2
(organic),/complete-order?requestid=MzkwOTI%3D,2
(direct),/complete-order?requestid=MzkwOTc=,2
(direct),/complete-order?requestid=MzkxMDk=,2
(direct),/complete-order?requestid=MzkxMTI%3D,2
(organic),/complete-order?requestid=MzkxMTc=,2
(organic),/complete-order?requestid=MzkxMzU%3D,2
(organic),/complete-order?requestid=MzkxMzY%3D,2
(organic),/complete-order?requestid=MzkxNDA=,2
(direct),/complete-order?requestid=MzkxNTI%3D,2
(direct),/complete-order?requestid=MzkxNTQ=,2
(direct),/complete-order?requestid=MzkxNjE%3D,2
(organic),/complete-order?requestid=MzkxNzk=,2
(direct),/complete-order?requestid=MzkxODY=,2
(direct),/complete-order?requestid=MzkxODk=,2
(direct),/complete-order?requestid=Mzg4MDU=,2
(direct),/complete-order?requestid=Mzg5NzA=,2
(direct),/complete-order?requestid=MzkyMDM=,2
(direct),/complete-order?requestid=MzkyMTI=,2
(direct),/complete-order?requestid=MzkyMzA=,2
(direct),/complete-order?requestid=MzkyMzM=,2
(organic),/complete-order?requestid=MzkyNDI=,2
(organic),/complete-order?requestid=MzkyNDY%3D,2
(direct),/complete-order?requestid=MzkyNTQ%3D,2
(organic),/complete-order?requestid=MzkyNTY=,2
(direct),/complete-order?requestid=MzkyNjM=,2
(direct),/complete-order?requestid=MzkyNjQ=,2
(direct),/complete-order?requestid=MzkyODI=,2
(organic),/complete-order?requestid=MzkyODY%3D,2
(organic),/complete-order?requestid=MzkyODk%3D,2
(organic),/complete-order?requestid=MzkzMDQ%3D,2
(organic),/complete-order?requestid=MzkzMDk%3D,2
(organic),/complete-order?requestid=MzkzMTA=,2
(direct),/complete-order?requestid=MzkzNDU=,2
(organic),/complete-order?requestid=MzkzNDk%3D,2
(direct),/complete-order?requestid=MzkzNTA=,2
(organic),/complete-order?requestid=MzkzNTQ%3D,2
(organic),/complete-order?requestid=MzkzNjM=,2
(direct),/complete-order?requestid=MzkzNzc=,2
(direct),/complete-order?requestid=MzkyMDI=,2
(organic),/complete-order?requestid=Mzg5Njc=,1
(direct),/complete-order?requestid=Mzg5OTM=,1
(organic),/complete-order?requestid=Mzg5OTc=,1
(organic),/complete-order?requestid=Mzk0MTE=,1
(organic),/complete-order?requestid=Mzk0MjI=,1
(organic),/complete-order?requestid=Mzk0MjM=,1
(organic),/complete-order?requestid=Mzk0MjQ=,1
(direct),/complete-order?requestid=Mzk0NTQ=,1
(direct),/complete-order?requestid=Mzk0NjU=,1
(direct),/complete-order?requestid=Mzk0NzQ=,1
(direct),/complete-order?requestid=Mzk0Nzk=,1
(organic),/complete-order?requestid=Mzk0ODc=,1
(organic),/complete-order?requestid=Mzk1NjQ=,1
(organic),/complete-order?requestid=Mzk1NzU=,1
(organic),/complete-order?requestid=Mzk1ODA=,1
(organic),/complete-order?requestid=Mzk1OTE=,1
(direct),/complete-order?requestid=Mzk2Mzk=,1
(organic),/complete-order?requestid=Mzk2NDI=,1
(organic),/complete-order?requestid=Mzk2ODA=,1
(direct),/complete-order?requestid=Mzk3Mjc=,1
(direct),/complete-order?requestid=Mzk3NDk=,1
(direct),/complete-order?requestid=Mzk3ODA=,1
(direct),/complete-order?requestid=Mzk3ODE=,1
(direct),/complete-order?requestid=Mzk4Mjk=,1
(organic),/complete-order?requestid=Mzk4NTk=,1
(direct),/complete-order?requestid=Mzk4NjM=,1
(direct),/complete-order?requestid=Mzk4OTQ=,1
(direct),/complete-order?requestid=MzkwMDQ=,1
(organic),/complete-order?requestid=MzkwMTI=,1
(organic),/complete-order?requestid=MzkwMTU=,1
(direct),/complete-order?requestid=MzkwMTg=,1
