Session campaign,Page path + query string,Ecommerce purchases,decoded_order_id,match_status,_ingest_loaded_at,brand,customer_source_raw,date_updated,gross_sales_amount,is_excluded_test_order,is_fulfilled_order,is_fulfillment_success_order,is_non_cancelled_order,net_sales_amount,order_date,order_status_raw,payment_status_raw,quantity_int,sku,fulfilled_net_revenue
(referral),/complete-order?requestid=Mzk0NDg%3D,2,39448,Matched,2026-09-25 02:00:22,FRONWAY,Website,2026-09-14T11:20:00,7492.3,false,false,false,true,6689.55,2026-09-12T17:04:00,New,Unpaid,2,FRONWAY 205/55/ZR17 EURUS 08 95W,0.00
(referral),/complete-order?requestid=Mzk0NjA=,2,39460,Matched,2026-09-25 02:00:22,BLACK ARROW,,2026-09-13T10:54:00,8904.6,false,false,false,true,7950.54,2026-09-13T10:54:00,New,Unpaid,4,BLACK ARROW 185/65/R15 SUPER DART P16 88H,0.00
(referral),/complete-order?requestid=Mzk0ODU%3D,2,39485,Matched,2026-09-25 02:00:22,WESTLAKE,Website,2026-09-21T12:27:00,14335.8,false,true,true,true,12799.82,2026-09-14T13:28:00,Fulfilled,Fully Paid,4,WESTLAKE 205/60/R16 RP36,12799.82
(referral),/complete-order?requestid=Mzk0OTA%3D,2,39490,Matched,2026-09-25 02:00:22,RADAR,,2026-09-24T15:14:00,9971.4,false,true,true,true,8903.04,2026-09-14T14:41:00,Fulfilled,Fully Paid,4,RADAR 175/65/R14 RIVERA PRO2 82H,8903.04
(referral),/complete-order?requestid=Mzk3MjM%3D,2,39723,Matched,2026-09-25 02:00:22,BFGOODRICH,Website,2026-09-24T14:44:00,21687,false,true,true,true,19363.39,2026-09-20T11:30:00,Fulfilled,Partial Payment,4,BFGOODRICH 215/65/R16 ADVANTAGE TOURING 98T,19363.39
(referral),/complete-order?requestid=MzkwNzU%3D,2,39075,Matched,2026-09-25 02:00:22,MICHELIN,Website,2026-09-08T21:07:00,50010,false,true,true,true,44651.79,2026-09-03T10:11:00,Fulfilled,Fully Paid,4,MICHELIN 235/60/R18 PILOT SPORT 4 SUV 107W,44651.79
(referral),/complete-order?requestid=MzkxMDE%3D,2,39101,Matched,2026-09-25 02:00:22,MICHELIN,,2026-09-18T09:45:00,36215,false,true,true,true,32334.82,2026-09-04T08:54:00,Fulfilled,Fully Paid,4,MICHELIN 215/55/R17 PRIMACY 5 94V,32334.82
(referral),/complete-order?requestid=MzkxMjU=,2,39125,Matched,2026-09-25 02:00:22,GOODYEAR,,2026-09-07T13:10:00,6665,false,false,false,true,5950.89,2026-09-04T20:23:00,New,Unpaid,1,GOODYEAR 205/50/R17 ASSURANCE TRIPLEMAX 2 89V,0.00
(referral),/complete-order?requestid=MzkyOTM%3D,2,39293,Matched,2026-09-25 02:00:22,MICHELIN,Website,2026-09-22T09:19:00,36315,false,true,true,true,32424.11,2026-09-09T16:17:00,Fulfilled,Fully Paid,4,MICHELIN 215/55/R17 PRIMACY 5 94V,32424.11
(referral),/complete-order?requestid=MzkzNjQ%3D,2,39364,Matched,2026-09-25 02:00:22,BFGOODRICH,,2026-09-24T15:19:00,12253.4,false,false,false,true,10940.54,2026-09-11T00:48:00,For Return,Partial Payment,4,BFGOODRICH 175/65/R14 ADVANTAGE TOURING 82H,0.00
