Session campaign,Page path + query string,Ecommerce purchases
(referral),/complete-order?requestid=Mzk0NDg%3D,2
(referral),/complete-order?requestid=Mzk0NjA=,2
(referral),/complete-order?requestid=Mzk0ODU%3D,2
(referral),/complete-order?requestid=Mzk0OTA%3D,2
(referral),/complete-order?requestid=Mzk3MjM%3D,2
(referral),/complete-order?requestid=MzkwNzU%3D,2
(referral),/complete-order?requestid=MzkxMDE%3D,2
(referral),/complete-order?requestid=MzkxMjU=,2
(referral),/complete-order?requestid=MzkyOTM%3D,2
(referral),/complete-order?requestid=MzkzNjQ%3D,2
(referral),/complete-order?requestid=MzkzNjk=,2
(referral),/complete-order?requestid=Mzk2ODQ=,1
(referral),/complete-order?requestid=Mzk1NTE=,1
(referral),/complete-order?requestid=Mzk2NTU=,1
(referral),/complete-order?requestid=Mzk1Mjg=,1
(referral),/complete-order?requestid=Mzk2ODY=,1
(referral),/complete-order?requestid=Mzk3NTE=,1
(referral),/complete-order?requestid=Mzk3NTg=,1
(referral),/complete-order?requestid=Mzk3OTU=,1
(referral),/complete-order?requestid=Mzk4NDA=,1
(referral),/complete-order?requestid=MzkwMDY=,1
(referral),/complete-order?requestid=MzkwMTE=,1
(referral),/complete-order?requestid=MzkyNDg=,1
(referral),/complete-order?requestid=MzkyODA=,1
(referral),/complete-order?requestid=MzkzMTQ=,1
(referral),/complete-order?requestid=MzkzMjU=,1
(referral),/complete-order?requestid=MzkzNDE=,1
(referral),/complete-order?requestid=MzkzOTI=,1
