Session campaign,Page path + query string,Ecommerce purchases
All Brand - PMax PH,/complete-order?requestid=Mzk3NzM%3D,4
BFG Advantage Touring – PMax PH,/complete-order?requestid=MzkxNDM%3D,2
MICHELIN - PMAX (Traffic),/complete-order?requestid=MzkzOTU%3D,2
Michelin - PMax PH,/complete-order?requestid=Mzk0OTc=,2
Michelin - PMax PH,/complete-order?requestid=Mzk1MDc%3D,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk1NDI%3D,2
All Brand - PMax PH,/complete-order?requestid=Mzk1Njg=,2
SRC | All Brands | PH,/complete-order?requestid=Mzk1NzA=,2
Michelin - PMax PH,/complete-order?requestid=Mzk1ODE=,2
Michelin - PMax PH,/complete-order?requestid=Mzk1ODM=,2
All Brand - PMax PH,/complete-order?requestid=Mzk1ODY=,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk2MDM=,2
Gulongph Branding - PMax,/complete-order?requestid=Mzk2MDg%3D,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk2MjM=,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk2NjU%3D,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk2Nzc=,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk2OTE%3D,2
All Brand - PMax PH,/complete-order?requestid=Mzk2OTI%3D,2
Michelin - PMax PH,/complete-order?requestid=Mzk3MDU%3D,2
(cross-network),/complete-order?requestid=Mzk3MzY%3D,2
Michelin - PMax PH,/complete-order?requestid=Mzk3Mzg%3D,2
All Brand - PMax PH,/complete-order?requestid=Mzk4MTY%3D,2
Gulongph Branding - PMax,/complete-order?requestid=Mzk4MzU%3D,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk4NjI%3D,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk4NzA=,2
Michelin - PMax PH,/complete-order?requestid=Mzk4Nzc=,2
Michelin - PMax PH,/complete-order?requestid=Mzk4Nzg=,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk4OTU=,2
Michelin - PMax PH,/complete-order?requestid=Mzk4OTg=,2
Michelin - PMax PH,/complete-order?requestid=MzkwMTc%3D,2
Michelin - PMax PH,/complete-order?requestid=MzkwMzI%3D,2
All Brand - PMax PH,/complete-order?requestid=MzkwMzQ=,2
All Brand - PMax PH,/complete-order?requestid=MzkwMzU=,2
Michelin - PMax PH,/complete-order?requestid=MzkwNjU%3D,2
Michelin - PMax PH,/complete-order?requestid=Mzg5NTk=,2
Michelin - PMax PH,/complete-order?requestid=MzkxNTg%3D,2
Gulongph Branding - PMax,/complete-order?requestid=MzkxNjQ%3D,2
Gulongph Branding - PMax,/complete-order?requestid=MzkxNjY%3D,2
Michelin - PMax PH,/complete-order?requestid=MzkxNjk%3D,2
SRC | All Brands | PH,/complete-order?requestid=MzkxOTM%3D,2
SRC | All Brands | PH,/complete-order?requestid=MzkyMDQ%3D,2
BFG - PMax (Traffic),/complete-order?requestid=MzkyNjA=,2
SRC | All Brands | PH,/complete-order?requestid=MzkyNjU=,2
Michelin - PMax PH,/complete-order?requestid=MzkzMDE=,2
Gulongph Branding - PMax,/complete-order?requestid=MzkzNzI%3D,2
Michelin - PMax PH,/complete-order?requestid=Mzg5ODE%3D,2
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzg5Njk=,1
Michelin - PMax PH,/complete-order?requestid=Mzg5ODU=,1
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk0Njg=,1
Michelin - PMax PH,/complete-order?requestid=Mzk0NzE=,1
All Brand - PMax PH,/complete-order?requestid=Mzk1ODk=,1
BFG - PMax (Traffic),/complete-order?requestid=Mzk1OTQ=,1
All Brand - PMax PH,/complete-order?requestid=Mzk2MDE=,1
BFG Advantage Touring – PMax PH,/complete-order?requestid=Mzk2MDI=,1
All Brand - PMax PH,/complete-order?requestid=Mzk2NTY=,1
All Brand - PMax PH,/complete-order?requestid=Mzk4MTM=,1
All Brand - PMax PH,/complete-order?requestid=MzkwMjM=,1
Michelin - PMax PH,/complete-order?requestid=MzkxMjE=,1
BFG - PMax (Traffic),/complete-order?requestid=MzkxMzI=,1
BFG - PMax (Traffic),/complete-order?requestid=MzkxMzM=,1
Michelin - PMax PH,/complete-order?requestid=MzkxNDY=,1
Michelin - PMax PH,/complete-order?requestid=MzkxNzE=,1
Michelin - PMax PH,/complete-order?requestid=MzkxNzI=,1
SRC | All Brands | PH,/complete-order?requestid=MzkyMTM=,1
SRC | All Brands | PH,/complete-order?requestid=MzkyMTk=,1
Gulongph Branding - PMax,/complete-order?requestid=MzkzNjg=,1
BFG Advantage Touring – PMax PH,/complete-order?requestid=MzkzOTY=,1
All Brand - PMax PH,/complete-order?requestid=MzkzOTc=,1
