week,date_start,date_end,source_channel,matched_orders,fulfilled_orders,all_order_net_sales,fulfilled_net_revenue
1,2026-09-01,2026-09-07,Google Ads,24,15,522608.31,324575.99
1,2026-09-01,2026-09-07,Direct & Organic,52,27,793046.80,403835.56
1,2026-09-01,2026-09-07,Referral,5,2,90845.09,76986.61
2,2026-09-08,2026-09-14,Google Ads,12,4,232561.16,85278.66
2,2026-09-08,2026-09-14,Direct & Organic,58,30,1071884.97,601332.86
2,2026-09-08,2026-09-14,Referral,13,5,208630.37,125783.22
3,2026-09-15,2026-09-21,Google Ads,22,7,552631.53,100852.85
3,2026-09-15,2026-09-21,Direct & Organic,41,18,684801.78,302360.43
3,2026-09-15,2026-09-21,Referral,8,3,134840.53,70459.11
4,2026-09-22,2026-09-24,Google Ads,9,0,165308.48,0.00
4,2026-09-22,2026-09-24,Direct & Organic,16,0,312389.11,0.00
4,2026-09-22,2026-09-24,Referral,2,0,30268.12,0.00
