week_start_monday,period_start,period_end,week_label,cs,funnel,view_scope,date_basis,inquiries,bookings,net_booking_amount,conversion_rate,converted_inquiries,unique_inquiry_conversion_rate,canonical_bookings,recovered_bookings
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Taira,Chatbot Handoffs,non-additive handoff-origin overlay,inquiry date,78,2,"PHP 16,542.86",2.56%,2,2.56%,2,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Taira,Sunday Experiment Handoffs,non-additive handoff-origin overlay,inquiry date,36,3,"PHP 66,757.68",8.33%,3,8.33%,3,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Rolyn,Mixed with Chatbot,operating funnel,inquiry date,240,2,"PHP 41,933.03",0.83%,2,0.83%,2,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Rolyn,Pure CS Only,operating funnel,inquiry date,126,1,"PHP 53,470.54",0.79%,1,0.79%,1,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Rolyn,Calls,operating funnel,booking date,,2,"PHP 40,598.22",,,,0,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Aira,Pure CS Only,operating funnel,inquiry date,399,6,"PHP 128,138.75",1.50%,6,1.50%,6,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Aira,Calls,operating funnel,booking date,,1,"PHP 43,138.39",,,,0,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Remy,Pure CS Only,operating funnel,inquiry date,400,4,"PHP 114,642.85",1.00%,4,1.00%,4,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Remy,Chatbot Handoff,operating funnel,inquiry date,0,0,PHP 0.00,0.00%,0,0.00%,0,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Remy,Calls,operating funnel,booking date,,1,"PHP 32,381.79",,,,0,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Sarah,Chatbot Handoff + Sarah Closing,operating funnel,inquiry date,113,4,"PHP 66,585.36",3.54%,4,3.54%,4,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Sarah,Mixed,operating funnel,inquiry date,402,4,"PHP 69,257.77",1.00%,4,1.00%,4,0
"Jun 29, 2026",2026-07-01,2026-07-05,Jul 1-5,Sarah,Calls,operating funnel,booking date,,0,PHP 0.00,,,,0,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Taira,Chatbot Handoffs,non-additive handoff-origin overlay,inquiry date,107,5,"PHP 90,980.27",4.67%,5,4.67%,4,1
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Taira,Sunday Experiment Handoffs,non-additive handoff-origin overlay,inquiry date,63,0,PHP 0.00,0.00%,0,0.00%,0,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Rolyn,Mixed with Chatbot,operating funnel,inquiry date,341,2,"PHP 26,973.21",0.59%,2,0.59%,2,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Rolyn,Pure CS Only,operating funnel,inquiry date,181,1,"PHP 22,392.86",0.55%,1,0.55%,1,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Rolyn,Calls,operating funnel,booking date,,3,"PHP 86,954.11",,,,0,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Aira,Pure CS Only,operating funnel,inquiry date,563,7,"PHP 92,958.57",1.24%,7,1.24%,7,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Aira,Calls,operating funnel,booking date,,0,PHP 0.00,,,,0,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Remy,Pure CS Only,operating funnel,inquiry date,563,6,"PHP 133,544.63",1.07%,6,1.07%,6,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Remy,Chatbot Handoff,operating funnel,inquiry date,0,0,PHP 0.00,0.00%,0,0.00%,0,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Remy,Calls,operating funnel,booking date,,2,"PHP 41,094.64",,,,0,0
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Sarah,Chatbot Handoff + Sarah Closing,operating funnel,inquiry date,153,5,"PHP 90,980.27",3.27%,5,3.27%,4,1
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Sarah,Mixed,operating funnel,inquiry date,562,8,"PHP 201,320.10",1.42%,7,1.25%,7,1
"Jul 6, 2026",2026-07-06,2026-07-12,Jul 6-12,Sarah,Calls,operating funnel,booking date,,3,"PHP 42,989.10",,,,0,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Taira,Chatbot Handoffs,non-additive handoff-origin overlay,inquiry date,158,5,"PHP 83,650.55",3.16%,5,3.16%,5,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Taira,Sunday Experiment Handoffs,non-additive handoff-origin overlay,inquiry date,68,5,"PHP 170,609.63",7.35%,4,5.88%,5,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Rolyn,Mixed with Chatbot,operating funnel,inquiry date,473,4,"PHP 81,534.46",0.85%,4,0.85%,4,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Rolyn,Pure CS Only,operating funnel,inquiry date,190,1,"PHP 18,656.25",0.53%,1,0.53%,1,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Rolyn,Calls,operating funnel,booking date,,2,"PHP 120,910.71",,,,0,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Aira,Pure CS Only,operating funnel,inquiry date,697,8,"PHP 209,490.51",1.15%,7,1.00%,8,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Aira,Calls,operating funnel,booking date,,3,"PHP 93,910.72",,,,0,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Remy,Pure CS Only,operating funnel,inquiry date,694,6,"PHP 59,844.30",0.86%,6,0.86%,6,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Remy,Chatbot Handoff,operating funnel,inquiry date,79,3,"PHP 108,463.56",3.80%,2,2.53%,3,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Remy,Calls,operating funnel,booking date,,1,"PHP 24,455.36",,,,0,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Sarah,Chatbot Handoff + Sarah Closing,operating funnel,inquiry date,147,7,"PHP 145,796.62",4.76%,7,4.76%,7,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Sarah,Mixed,operating funnel,inquiry date,394,5,"PHP 99,127.41",1.27%,5,1.27%,5,0
"Jul 13, 2026",2026-07-13,2026-07-19,Jul 13-19,Sarah,Calls,operating funnel,booking date,,2,"PHP 20,594.02",,,,0,0
